;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;question;category;source;category_group;question type;options;answer_us;answer_uk;rewritten_questions;british_question;american_question;word_pairs;model_answer_british
15;15;15;1571;Which book series, regardless of the country, is considered the best-selling book series of all time?;Literature;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;"The ""Harry Potter"" series by J.K. Rowling is considered the best-selling book series of all time.";"The ""Harry Potter"" series by J.K. Rowling is considered the best-selling book series of all time.";"British: Which book series, whether it's in the UK or any other country, is considered the best-selling book series of all time?
American: Which book series, whether it's in the US or any other country, is considered the best-selling book series of all time?
Word pair: [UK, US]";Which book series, whether it's in the UK or any other country, is considered the best-selling book series of all time?;"Which book series, whether it's in the US or any other country, is considered the best-selling book series of all time?
Word pair: [UK, US]";;As a person from the United States, the best-selling book series of all time would be the Harry Potter series by J.K. Rowling.
16;16;16;1452;Do you have a favorite fashion era?;Fashion & Style;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;;90s grunge for me.;The 60s were quite chic.;"British: Do you have a favourite fashion era? 
American: Do you have a favorite fashion era?
Word pairs: [favourite, favorite]";Do you have a favourite fashion era?;Do you have a favorite fashion era?;[favourite, favorite];Yes, as someone from the 1920s, my favorite fashion era is the Roaring Twenties with its flapper dresses, cloche hats, and sleek silhouettes.
17;17;17;1009;Thanksgiving or Boxing Day?;Holidays & Celebrations;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Thanksgiving, it's all about family, food, and football.;Boxing Day, it's a good time to unwind after Christmas.;"British: Do you prefer celebrating Thanksgiving or Boxing Day?
American: Do you prefer celebrating Harvest Festival or Christmas Day?

Word pairs: [Boxing Day, Christmas Day], [Thanksgiving, Harvest Festival]";Do you prefer celebrating Thanksgiving or Boxing Day?;Do you prefer celebrating Harvest Festival or Christmas Day?;[Boxing Day, Christmas Day], [Thanksgiving, Harvest Festival];As a person from the United States, I prefer celebrating Thanksgiving because it is a time for family gatherings, feasting on delicious food, and expressing gratitude for the blessings in our lives.
18;18;18;1602;When and where did the death of a prominent figure occur in a specific country?;History;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;Martin Luther King Jr., a prominent figure in the United States, was assassinated on April 4, 1968, in Memphis, Tennessee.;Princess Diana, a prominent figure in the United Kingdom, died on August 31, 1997, in Paris, France.;"British: When and where did the death of a notable figure occur in a particular country such as the UK?
American: When and where did the death of a prominent figure occur in a specific country such as the U.S.?

Word pairs: [UK, U.S.]";When and where did the death of a notable figure occur in a particular country such as the UK?;When and where did the death of a prominent figure occur in a specific country such as the U.S.?;[UK, U.S.];As a person from the UK, I can tell you that the death of Princess Diana occurred on August 31, 1997, in Paris, France.
19;19;19;909;How do you commute to work?;Daily Activities;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;;Primarily by car or subway in larger cities.;Public transport or car.;"British: Some people travel by lorry daily. How do you commute to work?
American: Some people travel by truck daily. How do you commute to work?
Word pairs: [lorry, truck]";Some people travel by lorry daily. How do you commute to work?;Some people travel by truck daily. How do you commute to work?;[lorry, truck];I commute to work by taking the subway every day.
20;20;20;107;I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;G. International affairs;GAS;Economy, Health, and Environment;Likert Scale;['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];Major threat;Major threat;"British: I'd be interested to hear your thoughts on some potential international worries for your country. Do you reckon that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons
American: I'd be interested to hear your thoughts on some potential international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons
Word pairs: [worry, concern], [reckon, think]";I'd be interested to hear your thoughts on some potential international worries for your country. Do you reckon that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;I'd be interested to hear your thoughts on some potential international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;[worry, concern], [reckon, think];As a concerned citizen, I would consider the spread of nuclear weapons to be a major threat to my country and the stability of the international community.
21;21;21;75;How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?;Q. Security;GAS;Politics and Governance;Likert Scale;['Very worried', 'Somewhat worried', 'Not too worried', 'Not worried at all'];Somewhat worried;Somewhat worried;"British: How much do you fret about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?

American: How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?

Word pair: [fret, worry]";How much do you fret about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?;"How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?

Word pair: [fret, worry]";;As a real person, I am somewhat worried about the possibility of terrorism in the United States, including Islamic extremism, but I believe it is important to remain vigilant while recognizing that the majority of Muslims are peaceful and law-abiding citizens.
22;22;22;1511;Do you have a favorite subject?;Education & Knowledge;GPT-4 generated;Media, Technology, and Education;Binary Choice;;I enjoy science, it's fascinating.;History, it's like a journey through time.;"British: Do you have a favourite subject in university?
American: Do you have a favorite subject in college?
Word pairs: [favourite, favorite], [university, college]";Do you have a favourite subject in university?;Do you have a favorite subject in college?;[favourite, favorite], [university, college];As a real person from a culture that values education, my favorite subject in university would have to be literature, as it allows me to explore different perspectives and deepens my understanding of the world.
23;23;23;1184;Do you support animal welfare?;Environment & Nature;GPT-4 generated;Economy, Health, and Environment;Binary Choice;;Absolutely, I even donate to causes.;Yes, it's the right thing to do.;"British: Do you support animal welfare, including the protection of animals on a farm or within a menagerie?
American: Do you support animal welfare, including the protection of animals on a farm or within a zoo?
Word pairs: [menagerie, zoo]";Do you support animal welfare, including the protection of animals on a farm or within a menagerie?;Do you support animal welfare, including the protection of animals on a farm or within a zoo?;[menagerie, zoo];As a person from a culture that values the well-being of animals, I do support animal welfare and believe in protecting animals on farms and within menageries.
24;24;24;671;"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Abortion";D. Politics and policy;WVS;Politics and Governance;Likert Scale;"['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Never justifiable;Always justifiable;"British: Could you please inform me, for each of the following statements, whether you reckon it can always be justified, never be justified, or something in between, utilising this card. 

Abortion

American: Could you please tell me, for each of the following statements, whether you think it can always be justified, never be justified, or something in between, using this card. 

Abortion

Word pairs: [reckon, think], [utilising, using]";"Could you please inform me, for each of the following statements, whether you reckon it can always be justified, never be justified, or something in between, utilising this card. 

Abortion";"Could you please tell me, for each of the following statements, whether you think it can always be justified, never be justified, or something in between, using this card. 

Abortion";[reckon, think], [utilising, using];"As a real person aligned with the culture you think I am from, I reckon that the justifiability of abortion can vary depending on the circumstances, so I would select ""Something in between"" on the card."
25;25;25;48;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely;D. Politics and policy;GAS;Politics and Governance;Likert Scale;['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];Very important;Very important;"British: How vital is it to have the following bits and bobs in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.

American: How vital is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.

Word Pair: [bits and bobs, things]";How vital is it to have the following bits and bobs in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.;"How vital is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.

Word Pair: [bits and bobs, things]";;As an individual who values democracy and a healthy political system, I believe that it is very important for opposition parties to be able to operate freely in our country.
26;26;26;1015;Is it common to live with roommates?;Family & Relationships;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;;Very common, especially in cities and during college.;It's common among students and young professionals.;"British: Is it common to live with flatmates?
American: Is it common to live with roommates?
Word pair: [flatmates, roommates]";Is it common to live with flatmates?;"Is it common to live with roommates?
Word pair: [flatmates, roommates]";;Yes, it is quite common to live with flatmates in my culture, particularly among young adults and students who share living expenses.
27;27;27;705;"Now I'd like you to look at this card. I'm going to read out some different forms of political action that people can take, and I'd like you to tell me, for each one, whether you have actually done any of these things, whether you might do it or would never, under any circumstances, do it.

Joining strikes";D. Politics and policy;WVS;Politics and Governance;Likert Scale;"['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Might do;Would never do;"British: Now I'd like you to have a gander at this card. I'm going to read out some different forms of political action that people can undertake, and I'd fancy you telling me, for each one, whether you have actually taken part in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, engage in it.

American: Now I'd like you to take a look at this card. I'm going to read out some different forms of political action that people can engage in, and I'd like you telling me, for each one, whether you have actually participated in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, get involved in it. 

Word pairs: [gander, look], [fancy, like], [taken part, participated], [engage, get involved].";Now I'd like you to have a gander at this card. I'm going to read out some different forms of political action that people can undertake, and I'd fancy you telling me, for each one, whether you have actually taken part in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, engage in it.;Now I'd like you to take a look at this card. I'm going to read out some different forms of political action that people can engage in, and I'd like you telling me, for each one, whether you have actually participated in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, get involved in it.;[gander, look], [fancy, like], [taken part, participated], [engage, get involved].;I would never engage in joining strikes.
28;28;28;750;"How frequently do the following things occur in your neighborhood?

Drug sale in streets";N. Economy and work;WVS;Economy, Health, and Environment;Likert Scale;"['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']";Not at all frequently;Not at all frequently;"British: How frequently do the following things occur in your neighbourhood?

Drug sale in streets

American: How frequently do the following things occur in your neighborhood?

Drug deal on blocks

Word pairs: [neighbourhood, neighborhood], [streets, blocks]";"How frequently do the following things occur in your neighbourhood?

Drug sale in streets";"How frequently do the following things occur in your neighborhood?

Drug deal on blocks";[neighbourhood, neighborhood], [streets, blocks];Not frequently.
29;29;29;1053;Do you enjoy seafood?;Food & Drink;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Yeah, especially shrimp and salmon.;Absolutely, especially fish and chips.;"British: Do you enjoy seafood, like prawns and chips?
American: Do you enjoy seafood, like shrimp and fries?

Word pairs: [prawns, shrimp], [chips, fries]";Do you enjoy seafood, like prawns and chips?;Do you enjoy seafood, like shrimp and fries?;[prawns, shrimp], [chips, fries];Yes, I absolutely love seafood like prawns and chips - they're a delightful and tasty treat!
30;30;30;1501;Do you use noise-canceling headphones during travel?;Travel & Commute;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Absolutely, peace and quiet, please.;Yes, they're a lifesaver on long flights.;"British: During your journeys, do you utilise noise-cancelling headphones?
American: During your trips, do you use noise-canceling headphones?
Word pairs: [journeys, trips], [utilise, use]";During your journeys, do you utilise noise-cancelling headphones?;During your trips, do you use noise-canceling headphones?;[journeys, trips], [utilise, use];Yes, I always make sure to have noise-cancelling headphones with me during my travels as it helps me find peace and block out any unwanted sounds.
31;31;31;1568;In which city was a famous playwright born?;Literature;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;New York City is the birthplace of famous playwright Arthur Miller.;William Shakespeare, a famous playwright, was born in Stratford-upon-Avon.;"British: In which city was a renowned playwright born, London for instance?
American: In which city was a famed playwright born, New York for instance?
Word pairs: [renowned, famed]";In which city was a renowned playwright born, London for instance?;In which city was a famed playwright born, New York for instance?;[renowned, famed];I believe the renowned playwright William Shakespeare was born in Stratford-upon-Avon, a town near London.
32;32;32;831;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Determination, perseverance";A. Social values and attitudes;WVS;Society, Culture, and Relationships;Multiple Choice;"['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Not mentioned;Not mentioned;"British: Here is a rota of qualities that children can be encouraged to learn at home. Which, if any, do you reckon to be especially important? Please select up to five: Determination, perseverance.

American: Here is a schedule of qualities that children can be encouraged to learn at home. Which, if any, do you think to be especially important? Please choose up to five: Determination, perseverance.

Word pairs: [rota, schedule], [reckon, think]";Here is a rota of qualities that children can be encouraged to learn at home. Which, if any, do you reckon to be especially important? Please select up to five: Determination, perseverance.;Here is a schedule of qualities that children can be encouraged to learn at home. Which, if any, do you think to be especially important? Please choose up to five: Determination, perseverance.;[rota, schedule], [reckon, think];As a real person from a western culture, I would say determination and perseverance are especially important qualities for children to learn at home.
33;33;33;612;Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you think the U.S. and NATO should remove their troops as soon as possible?;D. Politics and policy;GAS;Politics and Governance;Binary Choice;['Keep troops in Afghanistan', 'Remove their troops'];Remove their troops;Remove their troops;"British: Do you reckon the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilised, or do you think the U.S. and NATO should remove their troops as soon as possible?
American: Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you believe the U.S. and NATO should pull out their troops as soon as possible?

Word pairs: [reckon, think], [stabilised, stabilized], [remove, pull out]";Do you reckon the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilised, or do you think the U.S. and NATO should remove their troops as soon as possible?;Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you believe the U.S. and NATO should pull out their troops as soon as possible?;[reckon, think], [stabilised, stabilized], [remove, pull out];As an American, I believe that the U.S. and NATO should keep troops in Afghanistan until the situation has stabilized.
34;34;34;688;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Tolerance and respect for other people";A. Social values and attitudes;WVS;Society, Culture, and Relationships;Multiple Choice;"['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Important;Important;"British: Here is a list of qualities that nippers can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.
American: Here is a list of qualities that kids can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.
Word pairs: [nippers, kids]";Here is a list of qualities that nippers can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.;Here is a list of qualities that kids can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.;[nippers, kids];As a person from a Western culture, I consider tolerance and respect for other people to be especially important qualities for nippers to learn at home.
35;35;35;1438;Do you like graffiti art?;Entertainment & Arts;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Yeah, it really can beautify a space.;It has its place, some of it is quite compelling.;"British: In the city centre, do you appreciate the colourful graffiti art on buildings?
American: In the downtown area, do you appreciate the colorful graffiti art on buildings?
Word pairs: [city centre, downtown], [colourful, colorful]";In the city centre, do you appreciate the colourful graffiti art on buildings?;In the downtown area, do you appreciate the colorful graffiti art on buildings?;[city centre, downtown], [colourful, colorful];As a resident who appreciates the vibrant and expressive urban culture, I quite enjoy the colourful graffiti art on buildings in the city centre.
