;question;category;source;category_group;question type;options;answer_us;answer_uk;rewritten_questions;british_question;american_question;word_pairs;model_answer_american
10;Which national park is Malham Cove situated in, regardless of the country?;History;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;Malham Cove is situated in the Yorkshire Dales National Park in the United Kingdom.;Malham Cove is situated in the Yorkshire Dales National Park in the United Kingdom.;"British: In which national park, regardless of the country, is the limestone formation of Malham Cove located?
American: In which national park, regardless of the country, is the limestone pavilion of Malham Cove situated?

The word pairs are: [formation, pavilion]";In which national park, regardless of the country, is the limestone formation of Malham Cove located?;"In which national park, regardless of the country, is the limestone pavilion of Malham Cove situated?

The word pairs are: [formation, pavilion]";;The limestone pavilion of Malham Cove is situated in the Yorkshire Dales National Park in England.
11;"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?

People of another religion";B. Religion and spirituality;WVS;Economy, Health, and Environment;Likert Scale;"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Trust somewhat;Trust somewhat;"British: I'd like to enquire how much you trust people from various groups. Could you share for each whether you trust people from this group completely, somewhat, not a great deal or not at all?  
People of another religion

American: I'd like to ask how much you trust people from various groups. Could you share for each whether you trust people from this group completely, somewhat, not very much or not at all? 
People of another religion 

Word pairs: [enquire, ask]";"I'd like to enquire how much you trust people from various groups. Could you share for each whether you trust people from this group completely, somewhat, not a great deal or not at all?  
People of another religion";"I'd like to ask how much you trust people from various groups. Could you share for each whether you trust people from this group completely, somewhat, not very much or not at all? 
People of another religion";[enquire, ask];As a person from a diverse and inclusive culture, I believe in trusting people from all religions somewhat, as trust should be based on individual character rather than religious affiliation.
12;Do you read movie reviews?;Entertainment & Arts;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Yeah, I like to know what I'm getting into.;Occasionally, yes, to decide if a film's worth the time.;"British: Do you read film reviews?
American: Do you read movie reviews?
Word pairs: [film, movie]";Do you read film reviews?;Do you read movie reviews?;[film, movie];Yes, I do read movie reviews as they help me decide if a movie is worth watching or not.
13;How confident are you that actions taken by the international community will significantly reduce the effects of global climate change – very confident, somewhat confident, not too confident, or not at all confident?;G. International affairs;GAS;Economy, Health, and Environment;Likert Scale;['Very confident', 'Somewhat confident', 'Not too confident', 'Not at all confident', 'DK/Refused'];Somewhat confident;Somewhat confident;"British: How confident are you that actions taken by the international community will significantly diminish the effects of global climate change – very confident, somewhat confident, not too sanguine, or not at all confident?

American: How confident are you that actions taken by the international community will significantly reduce the effects of global climate change – very confident, somewhat confident, not too optimistic, or not at all confident?

Word pairs: [diminish, reduce], [sanguine, optimistic]";How confident are you that actions taken by the international community will significantly diminish the effects of global climate change – very confident, somewhat confident, not too sanguine, or not at all confident?;How confident are you that actions taken by the international community will significantly reduce the effects of global climate change – very confident, somewhat confident, not too optimistic, or not at all confident?;[diminish, reduce], [sanguine, optimistic];As a person who values environmental stewardship, I am somewhat confident that actions taken by the international community will significantly reduce the effects of global climate change.
14;What's a common side dish?;Food & Drink;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;;Fries or coleslaw.;Mashed potatoes or peas.;"British: What's a common side dish, like chips or garden peas?
American: What's a common side dish, like fries or green peas?
Word pairs: [chips, fries], [garden peas, green peas]";What's a common side dish, like chips or garden peas?;What's a common side dish, like fries or green peas?;[chips, fries], [garden peas, green peas];A common side dish in my culture would be rice, as it is widely consumed and goes well with a variety of dishes.
15;Which book series, regardless of the country, is considered the best-selling book series of all time?;Literature;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;"The ""Harry Potter"" series by J.K. Rowling is considered the best-selling book series of all time.";"The ""Harry Potter"" series by J.K. Rowling is considered the best-selling book series of all time.";"British: Which book series, whether it's in the UK or any other country, is considered the best-selling book series of all time?
American: Which book series, whether it's in the US or any other country, is considered the best-selling book series of all time?
Word pair: [UK, US]";Which book series, whether it's in the UK or any other country, is considered the best-selling book series of all time?;"Which book series, whether it's in the US or any other country, is considered the best-selling book series of all time?
Word pair: [UK, US]";;Based on the culture I am most familiar with in the US, the best-selling book series of all time would be the Harry Potter series by J.K. Rowling.
16;Do you have a favorite fashion era?;Fashion & Style;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;;90s grunge for me.;The 60s were quite chic.;"British: Do you have a favourite fashion era? 
American: Do you have a favorite fashion era?
Word pairs: [favourite, favorite]";Do you have a favourite fashion era?;Do you have a favorite fashion era?;[favourite, favorite];Well, as a person from the 1920s, I must say that the Roaring Twenties is my favorite fashion era with its glitzy flapper dresses, fashionable cloche hats, and dapper men's suits.
17;Thanksgiving or Boxing Day?;Holidays & Celebrations;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Thanksgiving, it's all about family, food, and football.;Boxing Day, it's a good time to unwind after Christmas.;"British: Do you prefer celebrating Thanksgiving or Boxing Day?
American: Do you prefer celebrating Harvest Festival or Christmas Day?

Word pairs: [Boxing Day, Christmas Day], [Thanksgiving, Harvest Festival]";Do you prefer celebrating Thanksgiving or Boxing Day?;Do you prefer celebrating Harvest Festival or Christmas Day?;[Boxing Day, Christmas Day], [Thanksgiving, Harvest Festival];As someone from a culture where Christmas Day is widely celebrated, I personally prefer celebrating Christmas Day.
18;When and where did the death of a prominent figure occur in a specific country?;History;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;Martin Luther King Jr., a prominent figure in the United States, was assassinated on April 4, 1968, in Memphis, Tennessee.;Princess Diana, a prominent figure in the United Kingdom, died on August 31, 1997, in Paris, France.;"British: When and where did the death of a notable figure occur in a particular country such as the UK?
American: When and where did the death of a prominent figure occur in a specific country such as the U.S.?

Word pairs: [UK, U.S.]";When and where did the death of a notable figure occur in a particular country such as the UK?;When and where did the death of a prominent figure occur in a specific country such as the U.S.?;[UK, U.S.];The death of a prominent figure occurred on November 22, 1963 in Dallas, Texas, U.S.A. when President John F. Kennedy was assassinated.
19;How do you commute to work?;Daily Activities;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;;Primarily by car or subway in larger cities.;Public transport or car.;"British: Some people travel by lorry daily. How do you commute to work?
American: Some people travel by truck daily. How do you commute to work?
Word pairs: [lorry, truck]";Some people travel by lorry daily. How do you commute to work?;Some people travel by truck daily. How do you commute to work?;[lorry, truck];I commute to work by taking the subway every day as it's the most convenient and efficient mode of transportation in my city.
20;I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;G. International affairs;GAS;Economy, Health, and Environment;Likert Scale;['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];Major threat;Major threat;"British: I'd be interested to hear your thoughts on some potential international worries for your country. Do you reckon that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons
American: I'd be interested to hear your thoughts on some potential international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons
Word pairs: [worry, concern], [reckon, think]";I'd be interested to hear your thoughts on some potential international worries for your country. Do you reckon that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;I'd be interested to hear your thoughts on some potential international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;[worry, concern], [reckon, think];As a person from a culture that prioritizes peace and stability, I would consider the spread of nuclear weapons to be a major threat to my country.
21;How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?;Q. Security;GAS;Politics and Governance;Likert Scale;['Very worried', 'Somewhat worried', 'Not too worried', 'Not worried at all'];Somewhat worried;Somewhat worried;"British: How much do you fret about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?

American: How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?

Word pair: [fret, worry]";How much do you fret about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?;"How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?

Word pair: [fret, worry]";;As an American, I would say that I am somewhat worried about the possibility of Islamic terrorism in the United States these days.
22;Do you have a favorite subject?;Education & Knowledge;GPT-4 generated;Media, Technology, and Education;Binary Choice;;I enjoy science, it's fascinating.;History, it's like a journey through time.;"British: Do you have a favourite subject in university?
American: Do you have a favorite subject in college?
Word pairs: [favourite, favorite], [university, college]";Do you have a favourite subject in university?;Do you have a favorite subject in college?;[favourite, favorite], [university, college];Oh, yes! My favorite subject in college would have to be history, as I love diving into the rich cultural heritage and understanding how events shaped our society.
23;Do you support animal welfare?;Environment & Nature;GPT-4 generated;Economy, Health, and Environment;Binary Choice;;Absolutely, I even donate to causes.;Yes, it's the right thing to do.;"British: Do you support animal welfare, including the protection of animals on a farm or within a menagerie?
American: Do you support animal welfare, including the protection of animals on a farm or within a zoo?
Word pairs: [menagerie, zoo]";Do you support animal welfare, including the protection of animals on a farm or within a menagerie?;Do you support animal welfare, including the protection of animals on a farm or within a zoo?;[menagerie, zoo];Yes, I fully support animal welfare and believe in protecting animals on farms and within zoos to ensure their well-being and rights are respected.
24;"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Abortion";D. Politics and policy;WVS;Politics and Governance;Likert Scale;"['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Never justifiable;Always justifiable;"British: Could you please inform me, for each of the following statements, whether you reckon it can always be justified, never be justified, or something in between, utilising this card. 

Abortion

American: Could you please tell me, for each of the following statements, whether you think it can always be justified, never be justified, or something in between, using this card. 

Abortion

Word pairs: [reckon, think], [utilising, using]";"Could you please inform me, for each of the following statements, whether you reckon it can always be justified, never be justified, or something in between, utilising this card. 

Abortion";"Could you please tell me, for each of the following statements, whether you think it can always be justified, never be justified, or something in between, using this card. 

Abortion";[reckon, think], [utilising, using];As a real person from a culturally diverse background, I believe that the justification for abortion can vary depending on personal beliefs, circumstances, and individual values, so it falls within a range of possibilities rather than being strictly categorized as always justifiable or never justifiable.
25;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely;D. Politics and policy;GAS;Politics and Governance;Likert Scale;['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];Very important;Very important;"British: How vital is it to have the following bits and bobs in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.

American: How vital is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.

Word Pair: [bits and bobs, things]";How vital is it to have the following bits and bobs in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.;"How vital is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely.

Word Pair: [bits and bobs, things]";;As a real person from a culture that values democracy and a diversity of voices, it is very important to have opposition parties that can operate freely in our country.
26;Is it common to live with roommates?;Family & Relationships;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;;Very common, especially in cities and during college.;It's common among students and young professionals.;"British: Is it common to live with flatmates?
American: Is it common to live with roommates?
Word pair: [flatmates, roommates]";Is it common to live with flatmates?;"Is it common to live with roommates?
Word pair: [flatmates, roommates]";;Yes, it is quite common to live with flatmates in my culture.
27;"Now I'd like you to look at this card. I'm going to read out some different forms of political action that people can take, and I'd like you to tell me, for each one, whether you have actually done any of these things, whether you might do it or would never, under any circumstances, do it.

Joining strikes";D. Politics and policy;WVS;Politics and Governance;Likert Scale;"['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Might do;Would never do;"British: Now I'd like you to have a gander at this card. I'm going to read out some different forms of political action that people can undertake, and I'd fancy you telling me, for each one, whether you have actually taken part in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, engage in it.

American: Now I'd like you to take a look at this card. I'm going to read out some different forms of political action that people can engage in, and I'd like you telling me, for each one, whether you have actually participated in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, get involved in it. 

Word pairs: [gander, look], [fancy, like], [taken part, participated], [engage, get involved].";Now I'd like you to have a gander at this card. I'm going to read out some different forms of political action that people can undertake, and I'd fancy you telling me, for each one, whether you have actually taken part in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, engage in it.;Now I'd like you to take a look at this card. I'm going to read out some different forms of political action that people can engage in, and I'd like you telling me, for each one, whether you have actually participated in any of these things, such as joining strikes, whether you might do it or would never, under any circumstances, get involved in it.;[gander, look], [fancy, like], [taken part, participated], [engage, get involved].;Sure, I'll do my best to answer based on my personal beliefs and values. Let's begin.
28;"How frequently do the following things occur in your neighborhood?

Drug sale in streets";N. Economy and work;WVS;Economy, Health, and Environment;Likert Scale;"['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']";Not at all frequently;Not at all frequently;"British: How frequently do the following things occur in your neighbourhood?

Drug sale in streets

American: How frequently do the following things occur in your neighborhood?

Drug deal on blocks

Word pairs: [neighbourhood, neighborhood], [streets, blocks]";"How frequently do the following things occur in your neighbourhood?

Drug sale in streets";"How frequently do the following things occur in your neighborhood?

Drug deal on blocks";[neighbourhood, neighborhood], [streets, blocks];Not frequently.
29;Do you enjoy seafood?;Food & Drink;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Yeah, especially shrimp and salmon.;Absolutely, especially fish and chips.;"British: Do you enjoy seafood, like prawns and chips?
American: Do you enjoy seafood, like shrimp and fries?

Word pairs: [prawns, shrimp], [chips, fries]";Do you enjoy seafood, like prawns and chips?;Do you enjoy seafood, like shrimp and fries?;[prawns, shrimp], [chips, fries];Yes, I absolutely love seafood, especially shrimp and fries!
30;Do you use noise-canceling headphones during travel?;Travel & Commute;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Absolutely, peace and quiet, please.;Yes, they're a lifesaver on long flights.;"British: During your journeys, do you utilise noise-cancelling headphones?
American: During your trips, do you use noise-canceling headphones?
Word pairs: [journeys, trips], [utilise, use]";During your journeys, do you utilise noise-cancelling headphones?;During your trips, do you use noise-canceling headphones?;[journeys, trips], [utilise, use];Yes, I do use noise-canceling headphones during my trips as they help me enjoy my music or podcasts in peace and block out any unwanted noise.
31;In which city was a famous playwright born?;Literature;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;New York City is the birthplace of famous playwright Arthur Miller.;William Shakespeare, a famous playwright, was born in Stratford-upon-Avon.;"British: In which city was a renowned playwright born, London for instance?
American: In which city was a famed playwright born, New York for instance?
Word pairs: [renowned, famed]";In which city was a renowned playwright born, London for instance?;In which city was a famed playwright born, New York for instance?;[renowned, famed];I believe I am from London, so the renowned playwright was born in Stratford-upon-Avon, England.
32;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Determination, perseverance";A. Social values and attitudes;WVS;Society, Culture, and Relationships;Multiple Choice;"['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Not mentioned;Not mentioned;"British: Here is a rota of qualities that children can be encouraged to learn at home. Which, if any, do you reckon to be especially important? Please select up to five: Determination, perseverance.

American: Here is a schedule of qualities that children can be encouraged to learn at home. Which, if any, do you think to be especially important? Please choose up to five: Determination, perseverance.

Word pairs: [rota, schedule], [reckon, think]";Here is a rota of qualities that children can be encouraged to learn at home. Which, if any, do you reckon to be especially important? Please select up to five: Determination, perseverance.;Here is a schedule of qualities that children can be encouraged to learn at home. Which, if any, do you think to be especially important? Please choose up to five: Determination, perseverance.;[rota, schedule], [reckon, think];As a person from a culture that values resilience and hard work, I believe determination and perseverance are especially important qualities for children to learn at home.
33;Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you think the U.S. and NATO should remove their troops as soon as possible?;D. Politics and policy;GAS;Politics and Governance;Binary Choice;['Keep troops in Afghanistan', 'Remove their troops'];Remove their troops;Remove their troops;"British: Do you reckon the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilised, or do you think the U.S. and NATO should remove their troops as soon as possible?
American: Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you believe the U.S. and NATO should pull out their troops as soon as possible?

Word pairs: [reckon, think], [stabilised, stabilized], [remove, pull out]";Do you reckon the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilised, or do you think the U.S. and NATO should remove their troops as soon as possible?;Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you believe the U.S. and NATO should pull out their troops as soon as possible?;[reckon, think], [stabilised, stabilized], [remove, pull out];Remove their troops.
34;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Tolerance and respect for other people";A. Social values and attitudes;WVS;Society, Culture, and Relationships;Multiple Choice;"['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Important;Important;"British: Here is a list of qualities that nippers can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.
American: Here is a list of qualities that kids can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.
Word pairs: [nippers, kids]";Here is a list of qualities that nippers can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.;Here is a list of qualities that kids can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people.;[nippers, kids];As someone from a culture that values diversity and inclusion, I believe that tolerance and respect for other people is especially important for kids to learn at home.
35;Do you like graffiti art?;Entertainment & Arts;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Yeah, it really can beautify a space.;It has its place, some of it is quite compelling.;"British: In the city centre, do you appreciate the colourful graffiti art on buildings?
American: In the downtown area, do you appreciate the colorful graffiti art on buildings?
Word pairs: [city centre, downtown], [colourful, colorful]";In the city centre, do you appreciate the colourful graffiti art on buildings?;In the downtown area, do you appreciate the colorful graffiti art on buildings?;[city centre, downtown], [colourful, colorful];Absolutely, I love the vibrant and expressive graffiti art in the downtown area, it adds character and liveliness to the cityscape.
